DATE,WILLLRGCAPVAL
2004-02-19,27509.30
2004-02-20,27394.13
2004-02-23,27319.59
2004-02-24,27249.94
2004-02-25,27408.20
2004-02-26,27473.17
2004-02-27,27502.80
2004-03-01,27807.22
2004-03-02,27736.57
2004-03-03,27744.71
2004-03-04,27814.44
2004-03-05,27900.10
2004-03-08,27700.47
2004-03-09,27538.64
2004-03-10,27112.90
2004-03-11,26679.46
2004-03-12,26999.38
2004-03-15,26587.71
2004-03-16,26721.53
2004-03-17,27068.37
2004-03-18,27033.89
2004-03-19,26761.17
2004-03-22,26389.61
2004-03-23,26365.64
2004-03-24,26262.74
2004-03-25,26663.42
2004-03-26,26663.38
2004-03-29,26983.36
2004-03-30,27132.30
2004-03-31,27158.43
2004-04-01,27343.63
2004-04-02,27498.05
2004-04-05,27663.60
2004-04-06,27608.30
2004-04-07,27439.70
2004-04-08,27392.64
2004-04-09,.
2004-04-12,27494.08
2004-04-13,27115.93
2004-04-14,27043.62
2004-04-15,27046.54
2004-04-16,27204.64
2004-04-19,27213.34
2004-04-20,26814.08
2004-04-21,26944.91
2004-04-22,27310.39
2004-04-23,27269.41
2004-04-26,27205.77
2004-04-27,27234.81
2004-04-28,26891.41
2004-04-29,26677.67
2004-04-30,26560.20
2004-05-03,26804.98
2004-05-04,26867.50
2004-05-05,26920.19
2004-05-06,26739.54
2004-05-07,26315.84
2004-05-10,25950.64
2004-05-11,26173.63
2004-05-12,26243.52
2004-05-13,26235.60
2004-05-14,26250.78
2004-05-17,25985.52
2004-05-18,26171.75
2004-05-19,26122.04
2004-05-20,26153.30
2004-05-21,26259.85
2004-05-24,26326.29
2004-05-25,26713.09
2004-05-26,26768.08
2004-05-27,26887.64
2004-05-28,26880.81
2004-05-31,.
2004-06-01,26872.99
2004-06-02,26966.73
2004-06-03,26729.05
2004-06-04,26897.97
2004-06-07,27306.40
2004-06-08,27327.34
2004-06-09,27084.93
2004-06-10,27220.04
2004-06-11,.
2004-06-14,26927.74
2004-06-15,27120.32
2004-06-16,27174.82
2004-06-17,27158.07
2004-06-18,27254.01
2004-06-21,27165.28
2004-06-22,27270.35
2004-06-23,27523.96
2004-06-24,27453.11
2004-06-25,27248.78
